Time,Channel0,Channel1,Unit: s
18.2028656,1,0,
18.2048056,1,1,
18.25286528,0,1,
18.25480192,0,0,
18.30286512,1,0,
18.30479808,1,1,
18.3528648,0,1,
18.3547944,0,0,
18.40286464,1,0,
18.40479056,1,1,
18.45286432,0,1,
18.45478688,0,0,
18.502864,1,0,
18.5047832,1,1,
18.55286384,0,1,
18.55477936,0,0,
18.60286352,1,0,
18.60477568,1,1,
18.6528632,0,1,
18.65477184,0,0,
18.70286304,1,0,
18.70476816,1,1,
18.75286272,0,1,
18.75476448,0,0,
18.8028624,1,0,
18.80476064,1,1,
18.85286224,0,1,
18.85475696,0,0,
18.90286192,1,0,
18.90475312,1,1,
18.9528616,0,1,
18.95474944,0,0,
19.00286144,1,0,
19.00474576,1,1,
19.05286112,0,1,
19.05474192,0,0,
19.10286096,1,0,
19.10473824,1,1,
19.15286064,0,1,
19.1547344,0,0,
19.20286032,1,0,
19.20473072,1,1,
19.25286016,0,1,
19.25472704,0,0,
19.30285984,1,0,
19.3047232,1,1,
19.35285952,0,1,
19.35471952,0,0,
19.40285936,1,0,
19.40471568,1,1,
19.45285904,0,1,
19.454712,0,0,
19.50285872,1,0,
19.50470816,1,1,
19.55285856,0,1,
19.55470448,0,0,
19.60285824,1,0,
19.6047008,1,1,
19.65285792,0,1,
19.65469696,0,0,
19.70285776,1,0,
19.70469328,1,1,
19.75285744,0,1,
19.75468944,0,0,
19.80285728,1,0,
19.80468576,1,1,
19.85285696,0,1,
19.85468208,0,0,
19.90285664,1,0,
19.90467824,1,1,
19.95285648,0,1,
19.95467456,0,0,
20.00285616,1,0,
20.00467072,1,1,
20.05285584,0,1,
20.05466704,0,0,
20.10285568,1,0,
20.1046632,1,1,
20.15285536,0,1,
20.15465952,0,0,
20.20285504,1,0,
20.20465584,1,1,
20.25285488,0,1,
20.254652,0,0,
20.30285456,1,0,
20.30464832,1,1,
20.35285424,0,1,
20.35464448,0,0,
20.40285408,1,0,
20.4046408,1,1,
20.45285376,0,1,
20.45463712,0,0,
20.5028536,1,0,
20.50463328,1,1,
20.55285328,0,1,
20.5546296,0,0,
20.60285296,1,0,
20.60462576,1,1,
20.6528528,0,1,
20.65462208,0,0,
20.70285248,1,0,
20.70461824,1,1,
20.75285216,0,1,
20.75561456,0,0,
20.802852,1,0,
20.80461088,1,1,
20.85285168,0,1,
20.85460704,0,0,
20.90285136,1,0,
20.90460336,1,1,
20.9528512,0,1,
20.95459968,0,0,
21.00285088,1,0,
21.00459584,1,1,
21.05285072,0,1,
21.05459216,0,0,
21.1028504,1,0,
21.10458832,1,1,
21.15285008,0,1,
21.15458464,0,0,
21.20284992,1,0,
21.2045808,1,1,
21.2528496,0,1,
21.25557712,0,0,
21.30284928,1,0,
21.30457344,1,1,
21.35284912,0,1,
21.3555696,0,0,
21.4028488,1,0,
21.40456592,1,1,
21.45284848,0,1,
21.45456224,0,0,
21.50284832,1,0,
21.5045584,1,1,
21.552848,0,1,
21.55555456,0,0,
21.60284784,1,0,
21.60455088,1,1,
21.65284752,0,1,
21.65554704,0,0,
21.7028472,1,0,
21.70454336,1,1,
21.75284704,0,1,
21.75553952,0,0,
21.80284672,1,0,
21.80453584,1,1,
21.8528464,0,1,
21.85553216,0,0,
21.90284624,1,0,
21.90452848,1,1,
21.95284592,0,1,
21.95552464,0,0,
22.0028456,1,0,
22.00452096,1,1,
22.05284544,0,1,
22.05551712,0,0,
22.10284512,1,0,
22.10451344,1,1,
22.1528448,0,1,
22.1555096,0,0,
22.20284464,1,0,
22.20450592,1,1,
22.25284432,0,1,
22.25550208,0,0,
22.30284416,1,0,
22.3044984,1,1,
22.35284384,0,1,
22.35549472,0,0,
22.40284352,1,0,
22.40449088,1,1,
22.45284336,0,1,
22.4554872,0,0,
22.50284304,1,0,
22.50448352,1,1,
22.55284272,0,1,
22.55547968,0,0,
22.60284256,1,0,
22.604476,1,1,
22.65284224,0,1,
22.65547216,0,0,
22.70284192,1,0,
22.70446848,1,1,
22.75284176,0,1,
22.75546464,0,0,
22.80284144,1,0,
22.80446096,1,1,
22.85284112,0,1,
22.85545728,0,0,
22.90284096,1,0,
22.90445344,1,1,
22.95284064,0,1,
22.95544976,0,0,
23.00284048,1,0,
23.00444592,1,1,
23.05284016,0,1,
23.05544224,0,0,
23.10283984,1,0,
23.10443856,1,1,
23.15283968,0,1,
23.15543472,0,0,
23.20283936,1,0,
23.20443104,1,1,
23.25283904,0,1,
23.2554272,0,0,
23.30283888,1,0,
23.30442352,1,1,
23.35283856,0,1,
23.35541968,0,0,
23.40283824,1,0,
23.404416,1,1,
23.45283808,0,1,
23.45541216,0,0,
23.50283776,1,0,
23.50440848,1,1,
23.55283744,0,1,
23.5554048,0,0,
23.60283728,1,0,
23.60440096,1,1,
23.65283696,0,1,
23.65539728,0,0,
23.7028368,1,0,
23.7043936,1,1,
23.75283648,0,1,
23.75538976,0,0,
23.80283616,1,0,
23.80438608,1,1,
23.852836,0,1,
23.85538224,0,0,
23.90283568,1,0,
23.90437856,1,1,
23.95283536,0,1,
23.95537472,0,0,
24.0028352,1,0,
24.00437104,1,1,
24.05283488,0,1,
24.05536736,0,0,
24.10283456,1,0,
24.10436352,1,1,
24.1528344,0,1,
24.15535984,0,0,
24.20283408,1,0,
24.204356,1,1,
24.25283392,0,1,
24.25535232,0,0,
24.3028336,1,0,
24.30434864,1,1,
24.35283328,0,1,
24.3553448,0,0,
24.40283312,1,0,
24.40434112,1,1,
24.4528328,0,1,
24.45533728,0,0,
24.50283248,1,0,
24.5043336,1,1,
24.55283232,0,1,
24.55532976,0,0,
24.602832,1,0,
24.60432608,1,1,
24.65283168,0,1,
24.65532224,0,0,
24.70283152,1,0,
24.70431856,1,1,
24.7528312,0,1,
24.75531488,0,0,
24.80283088,1,0,
24.80431104,1,1,
24.85283072,0,1,
24.85530736,0,0,
24.9028304,1,0,
24.90430368,1,1,
24.95283024,0,1,
24.95529984,0,0,
25.00282992,1,0,
25.00429616,1,1,
25.0528296,0,1,
25.05529232,0,0,
25.10282944,1,0,
25.10428864,1,1,
25.15282912,0,1,
25.1552848,0,0,
25.2028288,1,0,
25.20428112,1,1,
25.25282864,0,1,
25.25527728,0,0,
25.30282832,1,0,
25.3042736,1,1,
25.352828,0,1,
25.35526992,0,0,
25.40282784,1,0,
25.40426608,1,1,
25.45282752,0,1,
25.4552624,0,0,
25.5028272,1,0,
25.50425872,1,1,
25.55282704,0,1,
25.55525488,0,0,
25.60282672,1,0,
25.6042512,1,1,
25.65282656,0,1,
25.65524736,0,0,
25.70282624,1,0,
25.70424368,1,1,
25.75282592,0,1,
25.75523984,0,0,
25.80282576,1,0,
25.80423616,1,1,
25.85282544,0,1,
25.85523248,0,0,
25.90282512,1,0,
25.90422864,1,1,
25.95282496,0,1,
25.95522496,0,0,
26.00282464,1,0,
26.00422112,1,1,
26.05282432,0,1,
26.05521744,0,0,
26.10282416,1,0,
26.10421376,1,1,
26.15282384,0,1,
26.15520992,0,0,
